flight,instrument,opr_frame,opr_year,distance_m,ice_thickness_agasea,ice_thickness_opr,rssnr_agasea,rssnr_opr,lat,lon,ice_thickness_diff,rssnr_diff
Y11a,HiCARS,Data_20181031_01_014,2018,1098.4493636720274,903.1094797979796,921.0398017045,54.68923787544906,70.37181679765227,-75.44193550768014,-114.77675599695915,-17.930321906520362,-15.682578922203213
Y11a,HiCARS,Data_20181031_01_030,2018,400.10656314895914,530.9714090909091,740.8729666361609,43.474142862317535,59.15028345235869,-75.48959740580578,-113.62752783928974,-209.90155754525176,-15.676140590041157
Y11a,HiCARS,Data_20181031_01_035,2018,378.90122175794465,1391.6012912457911,1404.2910322149048,47.83426265505255,60.646675696822555,-75.51979543380345,-112.6586505121279,-12.6897409691137,-12.812413041770007
Y11a,HiCARS,Data_20181031_01_036,2018,166.90873271382762,917.3791767676768,961.4510544301087,66.21740793088547,60.15288408618416,-75.52812939405538,-112.47557409626894,-44.071877662431916,6.064523844701313
Y11a,HiCARS,Data_20181031_01_047,2018,1050.3354123900222,1243.066281144781,848.6363072377846,73.10215988429569,48.38655314079769,-75.5771190544578,-110.49256510637919,394.42997390699634,24.715606743498
Y11a,HiCARS,Data_20181111_01_004,2018,1605.043535407875,1020.64151010101,1070.8981972286324,47.02301546365951,48.703246497769754,-75.51160934595362,-112.7374834981744,-50.2566871276224,-1.6802310341102427
Y11a,HiCARS,Data_20181111_01_014,2018,1864.881140169769,2087.073715488216,2099.7013395347562,93.39051318074397,92.16958961336528,-75.48036302285522,-114.04617837827998,-12.627624046540404,1.2209235673786907
Y11a,HiCARS,Data_20181111_01_015,2018,83.57109052230007,1455.9851094276096,1402.6072300180049,57.96960616601939,56.9888632101053,-75.51389744119564,-112.88551767124738,53.3778794096047,0.9807429559140886
Y11a,HiCARS,Data_20181111_01_025,2018,1490.6815126329664,2158.103590909091,1978.4675813579295,90.13019144598246,85.06054016612595,-75.47352125978173,-114.17435666992864,179.63600955116158,5.069651279856515
Y11a,HiCARS,Data_20181111_01_026,2018,615.5477267974293,1540.694606060606,1547.414218951436,60.19489296408253,63.27845440158928,-75.50716604143821,-113.00903433541387,-6.7196128908299215,-3.083561437506752
Y11a,HiCARS,Data_20181115_01_003,2018,249.7541059566394,1216.278936026936,1207.2861751775622,51.91634966498099,56.91127697375188,-75.64119816016692,-105.29149714883204,8.99276084937378,-4.99492730877089
Y11a,HiCARS,Data_20181115_01_011,2018,407.0203162214133,1378.7190841750844,1373.9825926706983,48.59294621150365,59.13769203935792,-75.63434647969558,-107.33976086610517,4.736491504386095,-10.544745827854271
Y11a,HiCARS,Data_20181115_01_035,2018,319.38283037791217,1568.6182979797982,1549.098021148337,67.95598773329723,48.292608331042224,-75.63208888937388,-103.20575419358988,19.52027683146116,19.66337940225501
Y11a,HiCARS,Data_20181116_02_027,2018,274.8989145160226,802.0144831649832,843.584900647083,47.61811293251939,51.662039124800046,-75.61194448816565,-101.40117855586311,-41.570417482099856,-4.043926192280658
Y11a,HiCARS,Data_20181116_02_028,2018,797.6473562121504,871.3211548821548,926.0912082952012,48.60985164019968,74.242025009007,-75.62312059071512,-101.97382935554305,-54.77005341304641,-25.632173368807315
Y13a,HiCARS,Data_20121016_02_004,2012,150.3895689721604,2083.546548821549,2078.8974078227966,92.01492209591714,75.519611848487,-75.76896731272466,-102.49795178874089,4.6491409987525,16.49531024743014
Y13a,HiCARS,Data_20121023_04_050,2012,188.11304992569555,714.9290521885521,478.3110789568562,34.364488157477226,35.831455236644274,-75.62244981615655,-113.8274467429047,236.61797323169588,-1.4669670791670484
Y13a,HiCARS,Data_20121023_04_052,2012,169.8317263715241,1778.7950841750842,1620.9431009093457,68.05068386561307,69.00306451322496,-75.64761021434505,-113.13879235976563,157.85198326573845,-0.9523806476118892
Y13a,HiCARS,Data_20121023_04_053,2012,156.15078352644576,1708.043835016835,,74.84784576310106,,-75.65065611733036,-113.09336701139699,,
Y13a,HiCARS,Data_20121023_04_069,2012,238.59613742274144,787.0236043771044,761.7546813016593,45.99771464597036,45.83586842157111,-75.7049261480339,-111.32890073614637,25.268923075445173,0.16184622439925533
Y13a,HiCARS,Data_20121023_04_070,2012,1297.664516151634,754.7840420875422,,44.29390851365064,,-75.71344224385005,-111.17957008918424,,
Y13a,HiCARS,Data_20121023_04_076,2012,859.1053374424044,1014.219574074074,974.3373830602617,55.12710295955791,60.73821291870077,-75.72439046354839,-100.11712572317826,39.8821910138123,-5.611109959142858
Y13a,HiCARS,Data_20121104_05_034,2012,92.3349625285025,1973.8170774410771,1946.2018286000653,81.95000409935031,75.82069583480745,-75.77175970568655,-102.78216384053164,27.615248841011862,6.129308264542857
Y13a,HiCARS,Data_20141103_04_020,2014,66.11366742942529,1370.8451902356903,1336.9389443388905,45.37084232402664,69.37610255939748,-75.78328304662048,-104.83764945281382,33.906245896799874,-24.00526023537084
Y13a,HiCARS,Data_20141103_04_021,2014,524.2120277591182,1329.152930976431,1363.879779489296,52.68095760075926,70.39707742758557,-75.78615925770112,-104.9655754470765,-34.72684851286499,-17.716119826826315
Y13a,HiCARS,Data_20141106_06_032,2014,5.519577857815273,1235.5932104377107,1249.3812301000712,58.06389932924566,67.37888559769851,-75.73491738643168,-100.42916924799255,-13.788019662360512,-9.314986268452856
Y13a,HiCARS,Data_20141107_09_025,2014,159.66290139601088,897.8977659932659,963.1348566270092,48.756000854408256,46.06008137813505,-75.70159350920034,-111.38523668245085,-65.23709063374326,2.695919476273204
Y13a,HiCARS,Data_20141107_09_030,2014,1947.5337565952495,1808.8486195286196,1656.8613617499598,69.0489941104318,61.822141077745904,-75.63084297639963,-113.39366699332211,151.9872577786598,7.226853032685902
Y13a,HiCARS,Data_20141107_09_031,2014,71.21317226063675,1734.137042087542,1682.1183947034651,60.97293442155098,72.52251700419392,-75.6495747129961,-113.11337114556787,52.018647384076985,-11.549582582642934
Y13a,HiCARS,Data_20141107_09_032,2014,98.6083005527322,1472.458355218855,1722.529647429074,73.06299422376726,72.69529699568957,-75.72218891797999,-110.55300536272802,-250.07129221021887,0.367697228077688
Y13a,HiCARS,Data_20141121_05_005,2014,104.28838139344158,1543.948882154882,1537.3114057700338,54.06923817255902,64.51332036820838,-75.78299552996855,-106.04818846490716,6.637476384848242,-10.444082195649365
